"","purpose","users","own_country","orbital_class","orbit_type","longitude","perigee","apogee","eccentricity","inclination","period","launch_mass","launch_date","lifetime","launch_site","new_name","launch_year","group_label","height","velocity","color","mean_alt","Count","unit","new_users","new_purpose"
"1","Communications","Civil","Israel","LEO","Sun-Synchronous",0,601,623,0.00158,97.97,96.93,1,2014-06-19,NA,"Dombarovsky Air Base","Duchifat-1",2014,"World",623000,17704.0961957249,"#FB1108",612,11,1,"Civil","Communications"
"2","Communications","Commercial","China","GEO","Unlisted",101,35778,35795,0.000202,0,1436.11,3760,2009-08-11,15,"Baikonur Cosmodrome","AsiaSat-5",2009,"World",35795000,17655.4257678026,"#BFE0E8",35786,191,1,"Commercial","Communications"
"3","Communications","Commercial","USA","GEO","Unlisted",-58,35782,35792,0.000119,0.01,1436.14,3659,2000-07-28,15,"Sea Launch (Odyssey)","Intelsat 9",2000,"USA",35792000,17655.429902051,"#C1E1E9",35787,575,1,"Commercial","Communications"
"4","Communications","Commercial","Multinational","GEO","Unlisted",-75,35700,35700,0,0,1436.1,1800,2016-06-15,15,"Cape Canaveral","ABS-2A",2016,"World",35700000,17655.5566870799,"#F5F6CD",35700,66,1,"Commercial","Communications"
"5","Communications","Commercial","USA","GEO","Unlisted",48,35776,35796,0.000237,0.02,1436.1,3642,1994-06-17,15,"Guiana Space Center","Intelsat 702",1994,"USA",35796000,17655.4243897204,"#C1E1E9",35786,575,1,"Commercial","Communications"
"6","Communications","Commercial","Multinational","GEO","Unlisted",-117,35779,35795,0.00019,0.02,1436.1,5500,2016-06-15,15,"Cape Canaveral","Eutelsat 117 West B",2016,"World",35795000,17655.4257678026,"#A4D4E3",35787,66,1,"Commercial","Communications"
"7","Communications","Commercial","USA","LEO","Non-Polar Inclined",0,769,777,0.00056,45,100.3,45,1997-12-23,5,"Wallops Island Flight Facility","ORBCOMM FM-11",1997,"USA",777000,17703.8822149742,"#FB4A08",773,575,1,"Commercial","Communications"
"8","Communications","Commercial","Saudi Arabia","LEO","Sun-Synchronous",0,648,758,0.00778,97.8,98.8,12,2007-04-17,NA,"Baikonur Cosmodrome","Saudicomsat-6",2007,"World",758000,17703.9086147771,"#FC280A",703,11,1,"Commercial","Communications"
"9","Communications","Civil","Netherlands","LEO","Sun-Synchronous",0,594,683,0.00635,97.8,97.4,1,2013-11-21,NA,"Dombarovsky Air Base","FUNCube-1",2013,"World",683000,17704.0128256787,"#FB1108",638,10,1,"Civil","Communications"
"10","Communications","Commercial","Russia","GEO","Unlisted",40,35777,35796,0.000225,0.01,1436.1,5720,2015-03-18,15,"Baikonur Cosmodrome","Express-AM7",2015,"World",35796000,17655.4243897204,"#A2D4E3",35786,133,1,"Commercial","Communications"
"11","Communications","Commercial","Multinational","GEO","Unlisted",45,35778,35794,0.00019,0.01,1436.09,3600,1999-05-20,12,"Baikonur Cosmodrome","Arabsat 7F",1999,"World",35794000,17655.4271458851,"#C2E1E9",35786,66,1,"Commercial","Communications"
"12","Communications","Commercial","Japan","GEO","Unlisted",162,35786,35801,0.000178,0,1436.01,4500,2016-08-14,15,"Cape Canaveral","JCSat 16",2016,"World",35801000,17655.4174993144,"#B1D9E6",35794,60,1,"Commercial","Communications"
"13","Communications","Commercial","Multinational","GEO","Unlisted",-115,35789,35789,0,0,1436,NA,2015-03-02,15,"Cape Canaveral","Eutelsat 115 West-B",2015,"World",35789000,17655.4340363024,NA,35789,66,1,"Commercial","Communications"
"14","Communications","Commercial","USA","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,52.01,103.48,700,2013-02-06,15,"Baikonur Cosmodrome","Globalstar M096",2013,"USA",1414000,17702.9971951923,"#FBF36B",1414,575,1,"Commercial","Communications"
"15","Communications","Commercial","USA","LEO","Non-Polar Inclined",0,1412,1415,0.000193,52,114.1,700,2011-07-13,15,"Baikonur Cosmodrome","Globalstar M088",2011,"USA",1415000,17702.9958059407,"#FBF36B",1414,575,1,"Commercial","Communications"
"16","Communications","Commercial","Multinational","GEO","Unlisted",7,35784,35794,0.000119,0.03,1436.21,5404,2013-05-14,15,"Baikonur Cosmodrome","Eutelsat 7B",2013,"World",35794000,17655.4271458851,"#A5D4E4",35789,66,1,"Commercial","Communications"
"17","Communications","Commercial","Russia","GEO","Unlisted",140,35420,35940,0.00618,0.08,1430.6,3400,2013-12-26,15,"Baikonur Cosmodrome","Express-AM5",2013,"World",35940000,17655.2259492574,"#C5E3E9",35680,133,1,"Commercial","Communications"
"18","Communications","Commercial","Japan","GEO","Unlisted",110,35778,35794,0.00019,0.03,1436.1,1980,2007-08-14,13,"Guiana Space Center","BSAT-3A",2007,"World",35794000,17655.4271458851,"#F5F6D1",35786,60,1,"Commercial","Communications"
"19","Communications","Commercial","United Kingdom","MEO","Equatorial",0,8060,8071,0.000381,0.09,287.92,650,2014-07-10,NA,"Guiana Space Center","O3b FM03",2014,"World",8071000,17693.7561865037,"#FBE428",8066,40,1,"Commercial","Communications"
"20","Communications","Commercial","United Arab Emirates","GEO","Unlisted",44,35764,35807,0.00051,2.99,1436.07,5250,2003-06-10,12,"Sea Launch (Odyssey)","Thuraya 2",2003,"World",35807000,17655.4092308379,"#A6D4E4",35786,6,1,"Commercial","Communications"
"21","Communications","Commercial","Indonesia","GEO","Unlisted",151,35702,35876,0.00206,0.07,1436.2,3540,2016-06-19,15,"Guiana Space Center","BRISat",2016,"World",35876000,17655.3141441927,"#C3E2E9",35789,8,1,"Commercial","Communications"
"22","Communications","Commercial","USA","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,52,114.1,700,2011-12-28,15,"Baikonur Cosmodrome","Globalstar M080",2011,"USA",1414000,17702.9971951923,"#FBF36B",1414,575,1,"Commercial","Communications"
"23","Communications","Civil","Russia","MEO","Non-Polar Inclined",0,1885,2165,0.0167,64.59,127.45,NA,1994-12-26,NA,"Baikonur Cosmodrome","Radio-ROSTO",1994,"World",2165000,17701.9539592874,NA,2025,133,1,"Civil","Communications"
"24","Communications","Commercial","USA","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,52,114.1,700,2010-10-19,15,"Baikonur Cosmodrome","Globalstar M073",2010,"USA",1414000,17702.9971951923,"#FBF36B",1414,575,1,"Commercial","Communications"
"25","Communications","Commercial","USA","GEO","Unlisted",69,35780,35790,0.000119,0.02,1436.03,6094,2012-08-02,18,"Guiana Space Center","Intelsat 20",2012,"USA",35790000,17655.4326582183,"#9FD3E2",35785,575,1,"Commercial","Communications"
"26","Communications","Commercial","Malaysia","GEO","Unlisted",148,35782,35791,0.000107,1.09,1436.12,1450,1996-11-14,11.5,"Guiana Space Center","Measat 2",1996,"World",35791000,17655.4312801345,"#F8F8B2",35786,4,1,"Commercial","Communications"
"27","Communications","Commercial","Multinational","GEO","Unlisted",0,35766,35806,0.000474,0.06,1436.07,4892,2009-02-11,15,"Guiana Space Center","Eutelsat Hot Bird  13D",2009,"World",35806000,17655.4106089165,"#AAD5E5",35786,66,1,"Commercial","Communications"
"28","Communications","Military","USA","GEO","Unlisted",-90,35768,35806,0.000451,0.82,1436.13,4536,2003-04-08,12,"Cape Canaveral","Milstar DFS-6",2003,"USA",35806000,17655.4106089165,"#B0D8E6",35787,575,1,"Military","Communications"
"29","Communications","Commercial","USA","GEO","Unlisted",-110,35773,35799,0.000308,0.07,1436.08,4300,2002-05-07,15,"Baikonur Cosmodrome","DirecTV-5",2002,"USA",35799000,17655.4202554759,"#B5DBE7",35786,575,1,"Commercial","Communications"
"30","Communications","Commercial","Russia","GEO","Unlisted",56,35778,35795,0.000202,0.03,1436.1,3420,1999-10-10,15,"Sea Launch (Odyssey)","DirecTV-1R",1999,"World",35795000,17655.4257678026,"#C5E3E9",35786,133,1,"Commercial","Communications"
"31","Communications","Commercial","USA","GEO","Unlisted",-115,35785,35791,7.12e-05,0.08,1436.16,6020,2013-10-25,15,"Baikonur Cosmodrome","Sirius FM-6",2013,"USA",35791000,17655.4312801345,"#9FD3E2",35788,575,1,"Commercial","Communications"
"32","Communications","Commercial","Norway","GEO","Unlisted",-1,35773,35798,0.000297,0.01,1436.1,2024,2008-02-11,15,"Baikonur Cosmodrome","Thor-5",2008,"World",35798000,17655.4216335571,"#F4F6D7",35786,6,1,"Commercial","Communications"
"33","Communications","Commercial","USA","LEO","Non-Polar Inclined",0,1412,1415,0.000193,52,114.1,700,2011-07-13,15,"Baikonur Cosmodrome","Globalstar M081",2011,"USA",1415000,17702.9958059407,"#FBF36B",1414,575,1,"Commercial","Communications"
"34","Communications","Commercial","Canada","GEO","Unlisted",-107,35773,35799,0.000308,0.01,1436.08,4905,2013-04-15,15,"Baikonur Cosmodrome","Anik G1",2013,"World",35799000,17655.4202554759,"#A9D5E5",35786,32,1,"Commercial","Communications"
"35","Communications","Commercial","China","GEO","Unlisted",106,35782,35793,0.00013,0.02,1436.17,3813,2011-11-25,15,"Baikonur Cosmodrome","AsiaSat-7",2011,"World",35793000,17655.4285239679,"#BDDFE8",35788,191,1,"Commercial","Communications"
"36","Communications","Commercial","USA","LEO","Non-Polar Inclined",0,1412,1415,0.000193,52,114.1,450,2007-10-20,10,"Baikonur Cosmodrome","Globalstar M070",2007,"USA",1415000,17702.9958059407,"#FAD321",1414,575,1,"Commercial","Communications"
"37","Communications","Civil","China","LEO","Sun-Synchronous",0,518,535,0.00123,97.46,95.17,25,2015-09-19,NA,"Taiyuan Launch Center","XW-2A",2015,"World",535000,17704.2184739233,"#FC3009",526,191,1,"Civil","Communications"
"38","Communications","Civil","China","LEO","Sun-Synchronous",0,519,538,0.00138,97.46,95.21,10,2015-09-19,NA,"Taiyuan Launch Center","XW-2C",2015,"World",538000,17704.2143053067,"#FC1C0A",528,191,1,"Civil","Communications"
"39","Communications","Commercial","USA","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,52,114.1,700,2011-12-28,15,"Baikonur Cosmodrome","Globalstar M084",2011,"USA",1414000,17702.9971951923,"#FBF36B",1414,575,1,"Commercial","Communications"
"40","Communications","Commercial","Russia","GEO","Unlisted",-11,35987,35995,9.44e-05,0.11,1446.57,2532,2009-02-11,12,"Baikonur Cosmodrome","Express-AM44",2009,"World",35995000,17655.1501577908,"#E2EEE8",35991,133,1,"Commercial","Communications"
"41","Communications","Commercial","Brazil","GEO","Unlisted",-75,35791,35848,0.000676,0.02,1437.78,3225,2012-11-10,15,"Guiana Space Center","Star One C3",2012,"World",35848000,17655.3527298925,"#C9E5E9",35820,10,1,"Commercial","Communications"
"42","Communications","Commercial/Government","Russia","LEO","Polar",0,1407,1413,0.000386,82.5,114,240,1996-02-19,3,"Plesetsk Cosmodrome","Gonets D1-14",1996,"World",1413000,17702.9985844443,"#FA9E11",1410,133,1,"Commercial","Communications"
"43","Communications","Civil","China","LEO","Sun-Synchronous",0,520,539,0.00138,97.46,95.22,10,2015-09-19,NA,"Taiyuan Launch Center","XW-2D",2015,"World",539000,17704.2129157684,"#FC1C0A",530,191,1,"Civil","Communications"
"44","Communications","Commercial","USA","GEO","Unlisted",-56,35785,35795,0.000119,0.05,1436.11,4488,1999-01-21,14,"Guiana Space Center","Galaxy-11",1999,"USA",35795000,17655.4257678026,"#B3DAE7",35790,575,1,"Commercial","Communications"
"45","Communications","Commercial","Canada","LEO","Sun-Synchronous",0,627,694,0.00476,98.2,98,12,2011-08-17,NA,"Dombarovsky Air Base","exactView 6",2011,"World",694000,17703.997541298,"#FC280A",660,32,1,"Commercial","Communications"
"46","Communications","Commercial","USA","GEO","Unlisted",-18,35775,35798,0.000273,0.01,1436.12,4723,2001-06-09,13,"Cape Canaveral","Intelsat 901",2001,"USA",35798000,17655.4216335571,"#ABD6E6",35786,575,1,"Commercial","Communications"
"47","Communications","Commercial","Netherlands","GEO","Unlisted",183,35784,35792,9.49e-05,0.02,1436.17,2238,2009-02-11,15,"Guiana Space Center","NSS-9",2009,"World",35792000,17655.429902051,"#EFF3E7",35788,10,1,"Commercial","Communications"
"48","Communications","Civil","China","LEO","Sun-Synchronous",0,520,539,0.00138,97.46,95.22,10,2015-09-19,NA,"Taiyuan Launch Center","XW-2B",2015,"World",539000,17704.2129157684,"#FC1C0A",530,191,1,"Civil","Communications"
"49","Communications","Commercial","Multinational","GEO","Unlisted",-8,35773,35814,0.000486,0.1,1436.1,5800,2015-08-20,15,"Guiana Space Center","Eutelsat 8 West B",2015,"World",35814000,17655.3995842966,"#A2D3E3",35794,66,1,"Commercial","Communications"
"50","Communications","Commercial","Multinational","GEO","Unlisted",116,35780,35791,0.00013,0.01,1436.06,3500,1999-09-04,15,"Guiana Space Center","ABS-7",1999,"World",35791000,17655.4312801345,"#C4E2E9",35786,66,1,"Commercial","Communications"
"51","Communications","Commercial/Government","Russia","LEO","Polar",0,1171,1504,0.0216,82.4,116,280,2015-03-31,NA,"Plesetsk Cosmodrome","Gonets M-13",2015,"World",1504000,17702.8721638517,"#FAB317",1338,133,1,"Commercial","Communications"
"52","Communications","Commercial","USA","LEO","Non-Polar Inclined",0,788,795,0.000489,45,100.7,45,1998-08-02,5,"Wallops Island Flight Facility","ORBCOMM FM-19",1998,"USA",795000,17703.8572047435,"#FB4A08",792,575,1,"Commercial","Communications"
"53","Communications","Commercial","Luxembourg","GEO","Unlisted",19,35804,35852,0.000569,0.14,1438.2,5345,2008-11-05,15,"Baikonur Cosmodrome","Astra 1M",2008,"World",35852000,17655.3472176341,"#A5D4E4",35828,18,1,"Commercial","Communications"
"54","Communications","Commercial","USA","GEO","Unlisted",69,35785,35801,0.00019,0.1,1436.1,3250,2016-08-24,15,"Guiana Space Center","Intelsat 36",2016,"USA",35801000,17655.4174993144,"#C8E4E9",35793,575,1,"Commercial","Communications"
"55","Communications","Commercial","USA","LEO","Non-Polar Inclined",0,770,776,0.00042,45,100.3,45,1997-12-23,5,"Wallops Island Flight Facility","ORBCOMM FM-10",1997,"USA",776000,17703.8836044345,"#FB4A08",773,575,1,"Commercial","Communications"
"56","Communications","Commercial","USA","LEO","Non-Polar Inclined",0,788,795,0.000489,45,100.7,45,1999-12-04,5,"Wallops Island Flight Facility","ORBCOMM FM-31",1999,"USA",795000,17703.8572047435,"#FB4A08",792,575,1,"Commercial","Communications"
"57","Communications","Commercial","USA","GEO","Unlisted",-95,35784,35788,4.74e-05,0.01,1436.11,4860,2002-06-15,15,"Sea Launch (Odyssey)","Galaxy-3C",2002,"USA",35788000,17655.4354143868,"#AAD5E5",35786,575,1,"Commercial","Communications"
"58","Communications","Commercial","Multinational","GEO","Unlisted",-15,35773,35799,0.000308,0.05,1436.09,3878,1999-10-19,13,"Guiana Space Center","Telstar 12",1999,"World",35799000,17655.4202554759,"#BCDEE8",35786,66,1,"Commercial","Communications"
"59","Communications","Commercial","Multinational","GEO","Unlisted",33,35756,35815,7e-04,0.09,1436.06,3800,2002-08-28,12,"Cape Canaveral","Eutelsat 8 West C",2002,"World",35815000,17655.3982062206,"#BDDFE8",35786,66,1,"Commercial","Communications"
"60","Communications","Commercial","USA","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,51.99,103.44,700,2013-02-06,15,"Baikonur Cosmodrome","Globalstar M094",2013,"USA",1414000,17702.9971951923,"#FBF36B",1414,575,1,"Commercial","Communications"
"61","Communications","Commercial","USA","GEO","Unlisted",83,35769,35804,0.000415,0.18,1436.11,2550,1999-04-03,12,"Xichang Satellite Launch Center","Intelsat APR-2",1999,"USA",35804000,17655.4133650747,"#E2EEE8",35786,575,1,"Commercial","Communications"
"62","Communications","Commercial","USA","LEO","Non-Polar Inclined",0,1412,1416,0.000257,52,114.1,450,1999-07-25,10,"Cape Canaveral","Globalstar M026",1999,"USA",1416000,17702.9944166893,"#FAD321",1414,575,1,"Commercial","Communications"
"63","Communications","Commercial","Malaysia","GEO","Unlisted",92,35772,35802,0.000356,0.05,1436.11,5800,2014-09-11,15,"Guiana Space Center","Measat 3B",2014,"World",35802000,17655.4161212342,"#A2D3E3",35787,4,1,"Commercial","Communications"
"64","Communications","Government","Norway","LEO","Sun-Synchronous",0,625,631,0.000429,98.4,97.27,6,2014-07-08,3,"Baikonur Cosmodrome","AISSat-2",2014,"World",631000,17704.0850796507,"#FC140A",628,6,1,"Government","Communications"
"65","Communications","Commercial","Multinational","GEO","Unlisted",172,35772,35799,0.00032,0.01,1436.1,5000,2005-12-29,16,"Baikonur Cosmodrome","Eutelsat 172A",2005,"World",35799000,17655.4202554759,"#A8D5E5",35786,66,1,"Commercial","Communications"
"66","Communications","Government","India","GEO","Unlisted",55,35776,35798,0.000261,0.18,1436.1,3181,2014-12-06,15,"Guiana Space Center","GSAT-16",2014,"World",35798000,17655.4216335571,"#CCE6E9",35787,42,1,"Government","Communications"
"67","Communications","Commercial","Netherlands","GEO","Unlisted",-21,35775,35798,0.000273,0.08,1436.12,4500,2002-04-16,14,"Guiana Space Center","NSS-7",2002,"World",35798000,17655.4216335571,"#B1D9E6",35786,10,1,"Commercial","Communications"
"68","Communications","Commercial","USA","LEO","Non-Polar Inclined",0,1411,1417,0.000385,52,114.1,450,1999-03-15,10,"Baikonur Cosmodrome","Globalstar M037",1999,"USA",1417000,17702.9930274383,"#FAD321",1414,575,1,"Commercial","Communications"
"69","Communications","Commercial","USA","GEO","Unlisted",-101,35774,35798,0.000285,0.05,1436.1,2648,1997-01-30,15,"Guiana Space Center","AMC-2",1997,"USA",35798000,17655.4216335571,"#E0EDE8",35786,575,1,"Commercial","Communications"
"70","Communications","Commercial","Canada","GEO","Unlisted",-119,35778,35794,0.00019,0.01,1436.1,4715,2007-04-09,15,"Baikonur Cosmodrome","Anik F3",2007,"World",35794000,17655.4271458851,"#ACD6E6",35786,32,1,"Commercial","Communications"
"71","Communications","Commercial","United Kingdom","MEO","Equatorial",0,8063,8069,0.000208,0.03,287.93,700,2013-06-25,NA,"Guiana Space Center","O3b PFM",2013,"World",8069000,17693.7589606591,"#FBF36B",8066,40,1,"Commercial","Communications"
"72","Communications","Commercial","Turkey","GEO","Unlisted",50,35776,35797,0.000249,0.01,1436.08,4869,2014-02-14,15,"Baikonur Cosmodrome","Turksat 4A",2014,"World",35797000,17655.4230116386,"#AAD5E5",35786,7,1,"Commercial","Communications"
"73","Communications","Commercial","USA","LEO","Non-Polar Inclined",0,1413,1414,6.42e-05,52,114.1,450,2007-10-20,10,"Baikonur Cosmodrome","Globalstar M067",2007,"USA",1414000,17702.9971951923,"#FAD321",1414,575,1,"Commercial","Communications"
"74","Communications","Commercial","Indonesia","GEO","Unlisted",113,35784,35789,5.93e-05,0.05,1436.13,3014,1996-05-15,15,"Guiana Space Center","Palapa C2",1996,"World",35789000,17655.4340363024,"#D3E8E9",35786,8,1,"Commercial","Communications"
"75","Communications","Commercial","USA","GEO","Unlisted",50,35779,35794,0.000178,0.02,1436.1,3124,1997-02-16,12,"Cape Canaveral","Intelsat 26",1997,"USA",35794000,17655.4271458851,"#D0E7E9",35786,575,1,"Commercial","Communications"
"76","Communications","Commercial","Turkey","GEO","Unlisted",50,35787,35805,0.000213,0.03,1436.57,5000,2015-10-16,15,"Baikonur Cosmodrome","Turksat 4B",2015,"World",35805000,17655.4119869955,"#A8D5E5",35796,7,1,"Commercial","Communications"
"77","Communications","Commercial","Indonesia","GEO","Unlisted",118,35781,35793,0.000142,0.04,1436.1,1930,2005-11-16,15,"Guiana Space Center","Telkom 2",2005,"World",35793000,17655.4285239679,"#F5F6D0",35787,8,1,"Commercial","Communications"
"78","Communications","Commercial","Multinational","GEO","Unlisted",75,35778,35793,0.000178,0.08,1436.03,6330,2014-02-06,15,"Guiana Space Center","ABS-2",2014,"World",35793000,17655.4285239679,"#9DD2E2",35786,66,1,"Commercial","Communications"
"79","Communications","Commercial","Turkey/France","GEO","Unlisted",42,35761,35810,0.000581,0.02,1436.06,3535,2001-01-10,15,"Guiana Space Center","Eurasiasat 1",2001,"World",35810000,17655.405096604,"#C3E2E9",35786,1,1,"Commercial","Communications"
"80","Communications","Commercial","Canada","GEO","Unlisted",-129,35782,35788,7.12e-05,0.05,1436.05,5585,2008-12-10,15,"Baikonur Cosmodrome","Ciel-2",2008,"World",35788000,17655.4354143868,"#A3D4E3",35785,32,1,"Commercial","Communications"
"81","Communications","Commercial","United Arab Emirates","GEO","Unlisted",99,35766,35807,0.000486,5.84,1436.1,5180,2008-01-15,12,"Sea Launch (Odyssey)","Thuraya 3",2008,"World",35807000,17655.4092308379,"#A7D5E4",35786,6,1,"Commercial","Communications"
"82","Communications","Government","Azerbaijan","GEO","Unlisted",46,35778,35794,0.00019,0.04,1436.08,3250,2013-02-07,15,"Guiana Space Center","Azerspace/Africasat-1a",2013,"World",35794000,17655.4271458851,"#C8E4E9",35786,1,1,"Government","Communications"
"83","Communications","Government","Belarus","GEO","Unlisted",52,35779,35792,0.000154,0.46,1436.06,5223,2016-01-15,15,"Xichang Satellite Launch Center","Belintersat-1",2016,"World",35792000,17655.429902051,"#A6D4E4",35786,2,1,"Government","Communications"
"84","Communications","Commercial","Multinational","GEO","Unlisted",-65,35776,35796,0.000237,0.08,1436.07,6654,2016-03-09,15,"Guiana Space Center","Eutelsat 65 West-A",2016,"World",35796000,17655.4243897204,"#9CD2E1",35786,66,1,"Commercial","Communications"
"85","Communications","Government","India","GEO","Unlisted",83,35777,35795,0.000213,0.06,1436.07,3400,2012-09-28,15,"Guiana Space Center","GSAT-10",2012,"World",35795000,17655.4257678026,"#C5E3E9",35786,42,1,"Government","Communications"
"86","Communications","Government","India","GEO","Unlisted",83,35777,35796,0.000225,0.03,1436.1,3100,2005-12-21,12,"Guiana Space Center","INSAT 4A",2005,"World",35796000,17655.4243897204,"#D0E7E9",35786,42,1,"Government","Communications"
"87","Communications","Government","Bolivia","GEO","Unlisted",-87,35773,35799,0.000308,0.27,1436.07,5000,2013-12-20,NA,"Xichang Satellite Launch Center","TKSat-1",2013,"World",35799000,17655.4202554759,"#A8D5E5",35786,1,1,"Government","Communications"
"88","Communications","Commercial/Government","Russia","LEO","Polar",0,1480,1512,0.00203,82.51,115.89,280,2014-07-03,NA,"Plesetsk Cosmodrome","Gonets M-19",2014,"World",1512000,17702.861050083,"#FAB317",1496,133,1,"Commercial","Communications"
"89","Communications","Commercial","Multinational","GEO","Unlisted",9,35714,35856,0.00168,0.13,1436.01,6150,2010-12-26,15,"Baikonur Cosmodrome","Eutelsat KA-SAT 9A",2010,"World",35856000,17655.341705381,"#9ED3E2",35785,66,1,"Commercial","Communications"
"90","Communications","Commercial","United Kingdom","GEO","Unlisted",-16,35763,35809,0.000546,0.08,1436.1,2070,1996-09-06,13,"Baikonur Cosmodrome","INMARSAT 3 F2",1996,"World",35809000,17655.4064746816,"#F4F5DC",35786,40,1,"Commercial","Communications"
"91","Communications","Commercial","USA","LEO","Non-Polar Inclined",0,772,774,0.00014,45,100.3,45,1997-12-23,5,"Wallops Island Flight Facility","ORBCOMM FM-5",1997,"USA",774000,17703.8863833563,"#FB4A08",773,575,1,"Commercial","Communications"
"92","Communications","Commercial","China","GEO","Unlisted",134,35778,35794,0.00019,0.01,1436.08,4680,2005-04-12,NA,"Xichang Satellite Launch Center","Apstar 6",2005,"World",35794000,17655.4271458851,"#AED7E6",35786,191,1,"Commercial","Communications"
"93","Communications","Commercial","USA","GEO","Unlisted",-105,35773,35800,0.00032,0.06,1436.1,2081,2006-12-08,15,"Guiana Space Center","AMC-18",2006,"USA",35800000,17655.418877395,"#F3F5DD",35786,575,1,"Commercial","Communications"
"94","Communications","Commercial","Mexico","GEO","Unlisted",-79,35788,35800,0.000142,0,1436,3180,2015-05-27,18,"Guiana Space Center","Sky Mexico-1",2015,"World",35800000,17655.418877395,"#CDE6E9",35794,4,1,"Commercial","Communications"
"95","Communications","Commercial","Multinational","GEO","Unlisted",3,35782,35791,0.000107,0.07,1436.1,5967,2014-05-26,15,"Sea Launch (Odyssey)","Eutelsat 3B",2014,"World",35791000,17655.4312801345,"#A0D3E3",35786,66,1,"Commercial","Communications"
"96","Communications","Commercial","Canada","GEO","Unlisted",-107,35778,35793,0.000178,0.02,1436.08,4710,2000-11-21,15,"Guiana Space Center","Anik F1",2000,"World",35793000,17655.4285239679,"#ACD6E6",35786,32,1,"Commercial","Communications"
"97","Communications","Commercial","Netherlands","GEO","Unlisted",95,35776,35797,0.000249,0.02,1436.12,4575,2002-12-17,NA,"Guiana Space Center","NSS-6",2002,"World",35797000,17655.4230116386,"#B0D8E6",35786,10,1,"Commercial","Communications"
"98","Communications","Commercial","Brazil","GEO","Unlisted",-84,35772,35800,0.000332,0.07,1436.09,2495,2000-08-17,12,"Guiana Space Center","Brazilsat B-4",2000,"World",35800000,17655.418877395,"#E6F0E7",35786,10,1,"Commercial","Communications"
"99","Communications","Commercial","Japan","GEO","Unlisted",154,35788,35794,7.12e-05,0.01,1436.1,2500,2002-03-29,11,"Guiana Space Center","JCSat 2A",2002,"World",35794000,17655.4271458851,"#E3EFE8",35791,60,1,"Commercial","Communications"
"100","Communications","Government","Iran","LEO","Sun-Synchronous",0,681,703,0.00156,97.9,98.6,170,2005-10-27,3,"Plesetsk Cosmodrome","Sinah-1",2005,"World",703000,17703.985035925,"#FA8209",692,1,1,"Government","Communications"
"101","Communications","Commercial","Japan","GEO","Unlisted",110,35784,35787,3.56e-05,0.05,1436.04,2910,2011-08-06,15,"Guiana Space Center","BSAT-3C/JCSat 110-R",2011,"World",35787000,17655.4367924716,"#D8EAE8",35786,60,1,"Commercial","Communications"
"102","Communications","Government/Commercial","USA","LEO","Polar",0,776,779,0.00021,86.4,100.4,689,1997-05-05,8,"Vandenberg AFB","Iridium 7",1997,"USA",779000,17703.8794360544,"#FBEE55",778,575,1,"Government","Communications"
"103","Communications","Commercial","USA","Elliptical","Molniya",0,12849,47048,0.471,63.3,1148.43,3792,2000-09-05,15,"Baikonur Cosmodrome","Sirius 2",2000,"USA",47048000,17639.9386089954,"#BEDFE8",29948,575,1,"Commercial","Communications"
"104","Communications","Government/Commercial","USA","LEO","Polar",0,747,751,0.000281,86.5,99.8,689,1998-05-17,8,"Vandenberg AFB","Iridium 74",1998,"USA",751000,17703.9183410501,"#FBEE55",749,575,1,"Government","Communications"
"105","Communications","Commercial","Netherlands","GEO","Unlisted",-37,35778,35795,0.000202,0.02,1436.1,5396,2005-02-03,16,"Baikonur Cosmodrome","NSS-10",2005,"World",35795000,17655.4257678026,"#A5D4E4",35786,10,1,"Commercial","Communications"
"106","Communications","Commercial","Netherlands","GEO","Unlisted",-40,35779,35794,0.000178,0.03,1436.11,3720,1998-02-19,12,"Guiana Space Center","NSS-806",1998,"World",35794000,17655.4271458851,"#C0E0E9",35786,10,1,"Commercial","Communications"
"107","Communications","Commercial","USA","GEO","Unlisted",-85,35780,35793,0.000154,0.02,1436.1,4312,2004-12-17,15,"Cape Canaveral","AMC-16",2004,"USA",35793000,17655.4285239679,"#B5DBE7",35786,575,1,"Commercial","Communications"
"108","Communications","Government/Commercial","USA","LEO","Polar",0,708,711,0.000212,86.5,99,689,1999-06-11,8,"Taiyuan Launch Center","Iridium 14A",1999,"USA",711000,17703.9739200602,"#FBEE55",710,575,1,"Government","Communications"
"109","Communications","Commercial","Canada","GEO","Unlisted",-73,35700,35700,0,0.01,1436.1,4745,2009-09-17,15,"Baikonur Cosmodrome","Nimiq 5",2009,"World",35700000,17655.5566870799,"#ABD6E6",35700,32,1,"Commercial","Communications"
"110","Communications","Commercial","Norway","GEO","Unlisted",-1,35727,35741,0.000166,0,1433.4,4600,2015-04-26,15,"Guiana Space Center","Thor-7",2015,"World",35741000,17655.5001847188,"#AFD8E6",35734,6,1,"Commercial","Communications"
"111","Communications","Commercial","Thailand","GEO","Unlisted",79,35777,35796,0.000225,0.04,1436.1,2800,2006-05-27,12,"Guiana Space Center","Thaicom-5",2006,"World",35796000,17655.4243897204,"#DAEBE8",35786,5,1,"Commercial","Communications"
